reply,label
can we discuss pricing,neutral
im excited to explore this further plz send contract,positive
we not looking for new solutions,negative
could u clarify features included,neutral
lets schedule a meeting to dive deeper,positive
please remove me from list,negative
this looks promising send specs,positive
ill need to check w my team,neutral
were alredy using similar product,negative
looking forward to demo,positive
can you provide case study,neutral
not good fit thx,negative
im intrsted lets schdule discussion,positive
please send pricing breakdown,neutral
were happy w current provider,negative
this could be gamechanger lets talk,positive
can u confirm implementation timeline,neutral
no need 4 this in workflow,negative
id love to see live demo,positive
could you share client testimonials,neutral
were not intrested in vendors,negative
lets set up call next week,positive
ill pass this to procurement team,neutral
plz stop contacting me,negative
this sounds great send details,positive
can u explain integration,neutral
not in market for this,negative
im eager to learn more lets connect,positive
please send feature list,neutral
weve commited to another solution,negative
this looks exciting can we schdule demo,positive
ill need to review w boss,neutral
not relevant to our needs,negative
lets talk about scaling,positive
can u share demo video,neutral
were not looking to change providers,negative
im intrested plz send proposal,positive
could u provide roi data,neutral
this isnt priority,negative
excited to see how this works,positive
plz clarify support options,neutral
doesnt align w goals,negative
lets schdule call to review features,positive
can you provide cost estimate,neutral
were not ready to explore,negative
this looks perfect send contract,positive
ill need more details for team,neutral
plz stop reaching out,negative
im excited about potential,positive
can u share comparison w competitors,neutral
not intrested at this time,negative
lets discuss how this benefits us,positive
send user guide plz,neutral
this isnt relevant to business,negative
id love to explore further,positive
can u confirm delivery timeline,neutral
were locked into contract,negative
this sounds great oppurtunity,positive
plz send pricing structure,neutral
not fit for our needs,negative
this could streamline process lets talk,positive
can u provide trial account,neutral
no intrest in this product,negative
im excited to see in action,positive
plz share integration guide,neutral
were not looking to invest,negative
lets schdule product walkthrough,positive
can u clarify subscription model,neutral
doesnt meet requirements,negative
id love to discuss w your team,positive
send sample report plz,neutral
no need for this service,negative
this could help send details,positive
can u share setup process,neutral
isnt priority right now,negative
lets set time to discuss,positive
plz send product roadmap,neutral
dont need this solution,negative
im eager to see how works,positive
can u provide pricing comparison,neutral
not intrested plz stop,negative
this looks promising schdule call,positive
send support plan details,neutral
not looking for new tools,negative
id love to learn more,positive
can u share feature comparison,neutral
doesnt fit strategy,negative
lets arrange demo next week,positive
plz provide contract terms,neutral
not intrested in offer,negative
this could solve issue lets discuss,positive
can u share onboarding process,neutral
dont have budget for this,negative
im looking forward to presentation,positive
clarify support options plz,neutral
not aligned w goals,negative
lets schdule call to explore,positive
send feature list,neutral
were not pursuing this,negative
this could be great send proposal,positive
can u provide case study,neutral
no need in workflow,negative
im excited to review further,positive
plz send technical documentation,neutral
not open to new vendors,negative
lets discuss how integrates,positive
can u share api docs,neutral
isnt relevant to team,negative
this sounds fantastic lets call,positive
send demo link plz,neutral
not in market for this,negative
id love to see how works,positive
can u send pricing tiers,neutral
not fit for setup,negative
this could be perfect send contract,positive
plz share implementation guide,neutral
dont need this service,negative
im intrested schdule demo,positive
can u provide client reference,neutral
isnt something we need,negative
lets explore in meeting,positive
send product specs plz,neutral
not open to solutions,negative
this looks great fit send proposal,positive
can u clarify licensing model,neutral
no intrest right now,negative
im excited lets connect,positive
plz provide cost breakdown,neutral
were happy w current tools,negative
this could enhance workflow discuss,positive
can u share demo video,neutral
doesnt align w needs,negative
lets schdule product overview,positive
send service agreement plz,neutral
not looking to change systems,negative
id love to explore solution,positive
can u provide trial link,neutral
not relevant to ops,negative
this sounds great lets talk,positive
plz share feature roadmap,neutral
dont need this moment,negative
im eager to see demo,positive
can u send pricing guide,neutral
isnt good fit for us,negative
lets discuss scaling,positive
send integration details plz,neutral
not intrested in product,negative
this could be gamechanger connect,positive
can u share api documentation,neutral
not priority for us,negative
id love to discuss further,positive
plz send support terms,neutral
not open to new tools,negative
this could streamline lets talk,positive
can u provide feature comparison,neutral
dont see value in solution,negative
im excited schdule call,positive
send cost estimate plz,neutral
not looking to invest,negative
this looks promising lets demo,positive
can u share client case study,neutral
not pursuing right now,negative
lets set up product walkthrough,positive
plz provide pricing structure,neutral
were not intrested,negative
id love to see in action,positive
can u send technical specs,neutral
dont need this service,negative
this could help send proposal,positive
clarify subscription model plz,neutral
not fit for team,negative
lets discuss in meeting,positive
send feature list plz,neutral
not intrested in offer,negative
im excited to explore,positive
can u provide demo link,neutral
were not in market,negative
this sounds great schdule call,positive
plz share support plan,neutral
doesnt meet needs,negative
id love to learn more,positive
can u send pricing tiers,neutral
not relevant to goals,negative
this could be perfect send details,positive
send implementation guide plz,neutral
no need for this,negative
im eager to review,positive
can u share cost breakdown,neutral
were happy w provider,negative
this could streamline connect,positive
plz provide feature comparison,neutral
not intrested right now,negative
lets schdule demo next week,positive
can u send product roadmap,neutral
dont need solution,negative
id love to see demo,positive
send pricing guide plz,neutral
isnt priority now,negative
this looks great lets talk,positive
can u share demo video,neutral
not open to vendors,negative
im excited about oppurtunity,positive
plz send contract terms,neutral
no intrest in product,negative
lets discuss how benefits,positive
can u provide trial account,neutral
doesnt fit strategy,negative
this could be gamechanger schedule,positive
send feature list plz,neutral
not looking for tools,negative
id love to explore further,positive
can u share support terms,neutral
dont need this moment,negative
this sounds fantastic connect,positive
plz provide pricing breakdown,neutral
not good fit for us,negative
lets set up call,positive
can u send technical guide,neutral
were not pursuing,negative
im eager to see in action,positive
send demo link plz,neutral
not relevant to team,negative
this could streamline discuss,positive
can u provide feature comparison,neutral
no need in workflow,negative
id love to discuss w team,positive
plz share cost structure,neutral
not intrested in service,negative
this looks promising schdule demo,positive
can u send product specs,neutral
were happy w setup,negative
im excited to review,positive
send implementation guide plz,neutral
doesnt meet requirements,negative
lets discuss in meeting,positive
can u provide pricing guide,neutral
not open to solutions,negative
id love to see how works,positive
plz share support plan,neutral
no intrest right now,negative
this could be perfect send proposal,positive
can u send feature list,neutral
not fit for needs,negative
im eager to learn more,positive
send demo video plz,neutral
were not in market,negative
this sounds great lets connect,positive
can u provide trial link,neutral
doesnt align w goals,negative
lets schdule product overview,positive
plz send pricing structure,neutral
no need for this,negative
